timestamp, utilization.gpu [%], memory.used [MiB]
2024/12/17 16:04:49.596, 100 %, 5771 MiB
2024/12/17 16:04:50.597, 0 %, 5771 MiB
2024/12/17 16:04:51.597, 100 %, 5771 MiB
2024/12/17 16:04:52.597, 0 %, 5771 MiB
2024/12/17 16:04:53.598, 100 %, 5771 MiB
2024/12/17 16:04:54.598, 0 %, 5771 MiB
2024/12/17 16:04:55.598, 100 %, 5771 MiB
2024/12/17 16:04:56.599, 0 %, 5771 MiB
2024/12/17 16:04:57.599, 100 %, 5771 MiB
2024/12/17 16:04:58.599, 0 %, 5771 MiB
2024/12/17 16:04:59.600, 100 %, 5771 MiB
2024/12/17 16:05:00.600, 0 %, 5771 MiB
2024/12/17 16:05:01.600, 100 %, 5771 MiB
2024/12/17 16:05:02.601, 0 %, 5771 MiB
2024/12/17 16:05:03.601, 100 %, 5771 MiB
2024/12/17 16:05:04.601, 0 %, 5771 MiB
2024/12/17 16:05:05.602, 100 %, 5771 MiB
2024/12/17 16:05:06.602, 0 %, 5771 MiB
2024/12/17 16:05:07.602, 99 %, 5771 MiB
2024/12/17 16:05:08.603, 0 %, 5771 MiB
2024/12/17 16:05:09.603, 90 %, 5771 MiB
2024/12/17 16:05:10.603, 0 %, 5771 MiB
2024/12/17 16:05:11.604, 81 %, 5771 MiB
2024/12/17 16:05:12.604, 0 %, 5771 MiB
2024/12/17 16:05:13.604, 66 %, 5771 MiB
2024/12/17 16:05:14.605, 0 %, 5771 MiB
2024/12/17 16:05:15.605, 64 %, 5771 MiB
2024/12/17 16:05:16.605, 0 %, 5771 MiB
2024/12/17 16:05:17.606, 52 %, 5771 MiB
2024/12/17 16:05:18.606, 0 %, 5771 MiB
2024/12/17 16:05:19.606, 48 %, 5771 MiB
2024/12/17 16:05:20.607, 0 %, 5771 MiB
2024/12/17 16:05:21.607, 33 %, 5771 MiB
2024/12/17 16:05:22.607, 0 %, 5771 MiB
2024/12/17 16:05:23.607, 0 %, 5771 MiB
2024/12/17 16:05:24.608, 88 %, 5771 MiB
2024/12/17 16:05:25.608, 0 %, 5771 MiB
2024/12/17 16:05:26.608, 100 %, 5771 MiB
2024/12/17 16:05:27.609, 0 %, 5771 MiB
2024/12/17 16:05:28.609, 100 %, 5771 MiB
2024/12/17 16:05:29.609, 0 %, 5771 MiB
2024/12/17 16:05:30.610, 100 %, 5771 MiB
2024/12/17 16:05:31.610, 0 %, 5771 MiB
2024/12/17 16:05:32.610, 100 %, 5771 MiB
2024/12/17 16:05:33.611, 0 %, 5771 MiB
2024/12/17 16:05:34.611, 100 %, 5771 MiB
2024/12/17 16:05:35.611, 0 %, 5771 MiB
2024/12/17 16:05:36.612, 100 %, 5771 MiB
2024/12/17 16:05:37.612, 0 %, 5771 MiB
2024/12/17 16:05:38.612, 100 %, 5771 MiB
2024/12/17 16:05:39.613, 0 %, 5771 MiB
2024/12/17 16:05:40.613, 100 %, 5771 MiB
2024/12/17 16:05:41.613, 0 %, 5771 MiB
2024/12/17 16:05:42.614, 100 %, 5771 MiB
2024/12/17 16:05:43.614, 0 %, 5771 MiB
2024/12/17 16:05:44.614, 100 %, 5771 MiB
2024/12/17 16:05:45.614, 0 %, 5771 MiB
2024/12/17 16:05:46.615, 100 %, 5771 MiB
2024/12/17 16:05:47.615, 0 %, 5771 MiB
2024/12/17 16:05:48.615, 100 %, 5771 MiB
2024/12/17 16:05:49.616, 0 %, 5771 MiB
2024/12/17 16:05:50.616, 100 %, 5771 MiB
2024/12/17 16:05:51.616, 0 %, 5771 MiB
2024/12/17 16:05:52.617, 100 %, 5771 MiB
2024/12/17 16:05:53.617, 0 %, 5771 MiB
2024/12/17 16:05:54.617, 100 %, 5771 MiB
2024/12/17 16:05:55.618, 0 %, 5771 MiB
2024/12/17 16:05:56.618, 100 %, 5771 MiB
2024/12/17 16:05:57.618, 0 %, 5771 MiB
2024/12/17 16:05:58.619, 100 %, 5771 MiB
2024/12/17 16:05:59.619, 0 %, 5771 MiB
2024/12/17 16:06:00.619, 100 %, 5771 MiB
2024/12/17 16:06:01.619, 0 %, 5771 MiB
2024/12/17 16:06:02.620, 100 %, 5771 MiB
2024/12/17 16:06:03.620, 0 %, 5771 MiB
2024/12/17 16:06:04.620, 100 %, 5771 MiB
2024/12/17 16:06:05.621, 0 %, 5771 MiB
2024/12/17 16:06:06.621, 100 %, 5771 MiB
2024/12/17 16:06:07.621, 0 %, 5771 MiB
2024/12/17 16:06:08.622, 100 %, 5771 MiB
2024/12/17 16:06:09.622, 0 %, 5771 MiB
2024/12/17 16:06:10.622, 100 %, 5771 MiB
2024/12/17 16:06:11.623, 0 %, 5771 MiB
2024/12/17 16:06:12.623, 100 %, 5771 MiB
2024/12/17 16:06:13.623, 0 %, 5771 MiB
2024/12/17 16:06:14.624, 100 %, 5771 MiB
2024/12/17 16:06:15.624, 0 %, 5771 MiB
2024/12/17 16:06:16.624, 100 %, 5771 MiB
2024/12/17 16:06:17.625, 0 %, 5771 MiB
2024/12/17 16:06:18.625, 100 %, 5771 MiB
2024/12/17 16:06:19.625, 0 %, 5771 MiB
2024/12/17 16:06:20.626, 99 %, 5771 MiB
2024/12/17 16:06:21.626, 0 %, 5771 MiB
2024/12/17 16:06:22.626, 97 %, 5771 MiB
2024/12/17 16:06:23.627, 0 %, 5771 MiB
2024/12/17 16:06:24.627, 97 %, 5771 MiB
2024/12/17 16:06:25.627, 0 %, 5771 MiB
2024/12/17 16:06:26.627, 84 %, 5771 MiB
2024/12/17 16:06:27.628, 0 %, 5771 MiB
2024/12/17 16:06:28.628, 77 %, 5771 MiB
2024/12/17 16:06:29.628, 0 %, 5771 MiB
2024/12/17 16:06:30.629, 62 %, 5771 MiB
2024/12/17 16:06:31.629, 0 %, 5771 MiB
2024/12/17 16:06:32.629, 51 %, 5771 MiB
2024/12/17 16:06:33.630, 0 %, 5771 MiB
2024/12/17 16:06:34.630, 46 %, 5771 MiB
2024/12/17 16:06:35.630, 0 %, 5771 MiB
2024/12/17 16:06:36.631, 29 %, 5771 MiB
2024/12/17 16:06:37.631, 0 %, 5771 MiB
2024/12/17 16:06:38.631, 21 %, 5771 MiB
2024/12/17 16:06:39.632, 1 %, 5771 MiB
2024/12/17 16:06:40.632, 0 %, 5771 MiB
2024/12/17 16:06:41.632, 100 %, 5771 MiB
2024/12/17 16:06:42.633, 0 %, 5771 MiB
2024/12/17 16:06:43.633, 100 %, 5771 MiB
2024/12/17 16:06:44.633, 0 %, 5771 MiB
2024/12/17 16:06:45.634, 100 %, 5771 MiB
2024/12/17 16:06:46.634, 0 %, 5771 MiB
2024/12/17 16:06:47.634, 100 %, 5771 MiB
2024/12/17 16:06:48.635, 0 %, 5771 MiB
2024/12/17 16:06:49.635, 100 %, 5771 MiB
2024/12/17 16:06:50.635, 0 %, 5771 MiB
2024/12/17 16:06:51.636, 100 %, 5771 MiB
2024/12/17 16:06:52.636, 0 %, 5771 MiB
2024/12/17 16:06:53.636, 100 %, 5771 MiB
2024/12/17 16:06:54.637, 0 %, 5771 MiB
2024/12/17 16:06:55.637, 100 %, 5771 MiB
2024/12/17 16:06:56.637, 0 %, 5771 MiB
2024/12/17 16:06:57.638, 100 %, 5771 MiB
2024/12/17 16:06:58.638, 0 %, 5771 MiB
2024/12/17 16:06:59.638, 100 %, 5771 MiB
2024/12/17 16:07:00.638, 0 %, 5771 MiB
2024/12/17 16:07:01.639, 100 %, 5771 MiB
2024/12/17 16:07:02.639, 0 %, 5771 MiB
2024/12/17 16:07:03.639, 100 %, 5771 MiB
2024/12/17 16:07:04.640, 0 %, 5771 MiB
2024/12/17 16:07:05.640, 100 %, 5771 MiB
2024/12/17 16:07:06.640, 0 %, 5771 MiB
2024/12/17 16:07:07.641, 100 %, 5771 MiB
2024/12/17 16:07:08.641, 0 %, 5771 MiB
2024/12/17 16:07:09.641, 100 %, 5771 MiB
2024/12/17 16:07:10.641, 0 %, 5771 MiB
2024/12/17 16:07:11.642, 100 %, 5771 MiB
2024/12/17 16:07:12.642, 0 %, 5771 MiB
2024/12/17 16:07:13.642, 100 %, 5771 MiB
2024/12/17 16:07:14.643, 0 %, 5771 MiB
2024/12/17 16:07:15.643, 100 %, 5771 MiB
2024/12/17 16:07:16.643, 0 %, 5771 MiB
2024/12/17 16:07:17.644, 100 %, 5771 MiB
2024/12/17 16:07:18.644, 0 %, 5771 MiB
2024/12/17 16:07:19.644, 100 %, 5771 MiB
2024/12/17 16:07:20.645, 0 %, 5771 MiB
2024/12/17 16:07:21.645, 100 %, 5771 MiB
2024/12/17 16:07:22.645, 0 %, 5771 MiB
2024/12/17 16:07:23.646, 100 %, 5771 MiB
2024/12/17 16:07:24.646, 0 %, 5771 MiB
2024/12/17 16:07:25.646, 100 %, 5771 MiB
2024/12/17 16:07:26.647, 0 %, 5771 MiB
2024/12/17 16:07:27.647, 100 %, 5771 MiB
2024/12/17 16:07:28.647, 0 %, 5771 MiB
2024/12/17 16:07:29.647, 100 %, 5771 MiB
2024/12/17 16:07:30.648, 0 %, 5771 MiB
2024/12/17 16:07:31.648, 100 %, 5771 MiB
2024/12/17 16:07:32.648, 0 %, 5771 MiB
2024/12/17 16:07:33.649, 100 %, 5771 MiB
2024/12/17 16:07:34.649, 0 %, 5771 MiB
2024/12/17 16:07:35.649, 100 %, 5771 MiB
2024/12/17 16:07:36.650, 0 %, 5771 MiB
2024/12/17 16:07:37.650, 100 %, 5771 MiB
2024/12/17 16:07:38.650, 0 %, 5771 MiB
